 #      x        atan(x)        atan'(x)        atan'(x)        atan''(x)       atan''(x) 
       1.42           0.96            0.33            0.33           -0.40           -0.31
       1.43           0.96            0.33            0.33           -0.39           -0.31
       1.44           0.96            0.32            0.32           -0.39           -0.30
       1.45           0.97            0.32            0.32           -0.38           -0.30
       1.46           0.97            0.32            0.32           -0.38           -0.30
       1.47           0.97            0.31            0.31           -0.37           -0.29
       1.48           0.98            0.31            0.31           -0.37           -0.29
       1.49           0.98            0.31            0.31           -0.36           -0.29
       1.50           0.98            0.30            0.31           -0.36           -0.28
       1.51           0.99            0.30            0.30           -0.35           -0.28
       1.52           0.99            0.30            0.30           -0.35           -0.28
       1.53           0.99            0.30            0.30           -0.34           -0.27
       1.54           0.99            0.29            0.30           -0.34           -0.27
       1.55           1.00            0.29            0.29           -0.33           -0.27
       1.56           1.00            0.29            0.29           -0.33           -0.26
       1.57           1.00            0.29            0.29           -0.32           -0.26
       1.58           1.01            0.28            0.28           -0.32           -0.26
       1.59           1.01            0.28            0.28           -0.32           -0.25
       1.60           1.01            0.28            0.28           -0.31           -0.25
       1.61           1.01            0.28            0.28           -0.31           -0.25
       1.62           1.02            0.27            0.27           -0.30           -0.25
       1.63           1.02            0.27            0.27           -0.30           -0.24
       1.64           1.02            0.27            0.27           -0.30           -0.24
       1.65           1.03            0.27            0.27           -0.29           -0.24
       1.66           1.03            0.26            0.27           -0.29           -0.23
       1.67           1.03            0.26            0.26           -0.29           -0.23
       1.68           1.03            0.26            0.26           -0.28           -0.23
       1.69           1.04            0.26            0.26           -0.28           -0.23
       1.70           1.04            0.25            0.26           -0.27           -0.22
       1.71           1.04            0.25            0.25           -0.27           -0.22
       1.72           1.04            0.25            0.25           -0.27           -0.22
       1.73           1.05            0.25            0.25           -0.26           -0.22
       1.74           1.05            0.25            0.25           -0.26           -0.21
       1.75           1.05            0.24            0.25           -0.26           -0.21
       1.76           1.05            0.24            0.24           -0.25           -0.21
       1.77           1.06            0.24            0.24           -0.25           -0.21
       1.78           1.06            0.24            0.24           -0.25           -0.20
       1.79           1.06            0.24            0.24           -0.24           -0.20
       1.80           1.06            0.23            0.23           -0.24           -0.20
       1.81           1.07            0.23            0.23           -0.24           -0.20
       1.82           1.07            0.23            0.23           -0.24           -0.19
       1.83           1.07            0.23            0.23           -0.23           -0.19
       1.84           1.07            0.23            0.23           -0.23           -0.19
       1.85           1.08            0.22            0.23           -0.23           -0.19
       1.86           1.08            0.22            0.22           -0.22           -0.19
       1.87           1.08            0.22            0.22           -0.22           -0.18
       1.88           1.08            0.22            0.22           -0.22           -0.18
       1.89           1.08            0.22            0.22           -0.22           -0.18
       1.90           1.09            0.22            0.22           -0.21           -0.18
       1.91           1.09            0.21            0.21           -0.21           -0.18
       1.92           1.09            0.21            0.21           -0.21           -0.17
       1.93           1.09            0.21            0.21           -0.20           -0.17
       1.94           1.09            0.21            0.21           -0.20           -0.17
       1.95           1.10            0.21            0.21           -0.20           -0.17
       1.96           1.10            0.20            0.21           -0.20           -0.17
       1.97           1.10            0.20            0.20           -0.20           -0.16
       1.98           1.10            0.20            0.20           -0.19           -0.16
       1.99           1.11            0.20            0.20           -0.19           -0.16
       2.00           1.11            0.20            0.20           -0.19           -0.16
       2.01           1.11            0.20            0.20           -0.19           -0.16
       2.02           1.11            0.20            0.20           -0.18           -0.16
       2.03           1.11            0.19            0.19           -0.18           -0.15
       2.04           1.12            0.19            0.19           -0.18           -0.15
       2.05           1.12            0.19            0.19           -0.18           -0.15
       2.06           1.12            0.19            0.19           -0.18           -0.15
       2.07           1.12            0.19            0.19           -0.17           -0.15
       2.08           1.12            0.19            0.19           -0.17           -0.15
       2.09           1.12            0.18            0.19           -0.17           -0.14
       2.10           1.13            0.18            0.18           -0.17           -0.14
       2.11           1.13            0.18            0.18           -0.17           -0.14
       2.12           1.13            0.18            0.18           -0.16           -0.14
       2.13           1.13            0.18            0.18           -0.16           -0.14
       2.14           1.13            0.18            0.18           -0.16           -0.14
       2.15           1.14            0.18            0.18           -0.16           -0.14
       2.16           1.14            0.18            0.18           -0.16           -0.13
       2.17           1.14            0.17            0.17           -0.15           -0.13
       2.18           1.14            0.17            0.17           -0.15           -0.13
       2.19           1.14            0.17            0.17           -0.15           -0.13
       2.20           1.14            0.17            0.17           -0.15           -0.13
       2.21           1.15            0.17            0.17           -0.15           -0.13
       2.22           1.15            0.17            0.17           -0.15           -0.13
       2.23           1.15            0.17            0.17           -0.14           -0.12
       2.24           1.15            0.16            0.17           -0.14           -0.12
       2.25           1.15            0.16            0.16           -0.14           -0.12
       2.26           1.15            0.16            0.16           -0.14           -0.12
       2.27           1.16            0.16            0.16           -0.14           -0.12
       2.28           1.16            0.16            0.16           -0.14           -0.12
       2.29           1.16            0.16            0.16           -0.13           -0.12
       2.30           1.16            0.16            0.16           -0.13           -0.12
       2.31           1.16            0.16            0.16           -0.13           -0.11
       2.32           1.16            0.16            0.16           -0.13           -0.11
       2.33           1.17            0.15            0.15           -0.13           -0.11
       2.34           1.17            0.15            0.15           -0.13           -0.11
       2.35           1.17            0.15            0.15           -0.13           -0.11
       2.36           1.17            0.15            0.15           -0.12           -0.11
       2.37           1.17            0.15            0.15           -0.12           -0.11
       2.38           1.17            0.15            0.15           -0.12           -0.11
       2.39           1.17            0.15            0.15           -0.12           -0.11
       2.40           1.18            0.15            0.15           -0.12           -0.10
       2.41           1.18            0.15            0.15           -0.12           -0.10
       2.42           1.18            0.14            0.15           -0.12           -0.10
       2.43           1.18            0.14            0.14           -0.12           -0.10
       2.44           1.18            0.14            0.14           -0.11           -0.10
       2.45           1.18            0.14            0.14           -0.11           -0.10
       2.46           1.18            0.14            0.14           -0.11           -0.10
       2.47           1.19            0.14            0.14           -0.11           -0.10
       2.48           1.19            0.14            0.14           -0.11           -0.10
       2.49           1.19            0.14            0.14           -0.11           -0.10
       2.50           1.19            0.14            0.14           -0.11           -0.09
       2.51           1.19            0.14            0.14           -0.11           -0.09
       2.52           1.19            0.14            0.14           -0.10           -0.09
       2.53           1.19            0.13            0.13           -0.10           -0.09
       2.54           1.20            0.13            0.13           -0.10           -0.09
       2.55           1.20            0.13            0.13           -0.10           -0.09
       2.56           1.20            0.13            0.13           -0.10           -0.09
       2.57           1.20            0.13            0.13           -0.10           -0.09
       2.58           1.20            0.13            0.13           -0.10           -0.09
       2.59           1.20            0.13            0.13           -0.10           -0.09
       2.60           1.20            0.13            0.13           -0.10           -0.09
       2.61           1.20            0.13            0.13           -0.10           -0.09
       2.62           1.21            0.13            0.13           -0.09           -0.08
       2.63           1.21            0.13            0.13           -0.09           -0.08
       2.64           1.21            0.12            0.13           -0.09           -0.08
       2.65           1.21            0.12            0.12           -0.09           -0.08
       2.66           1.21            0.12            0.12           -0.09           -0.08
       2.67           1.21            0.12            0.12           -0.09           -0.08
       2.68           1.21            0.12            0.12           -0.09           -0.08
       2.69           1.21            0.12            0.12           -0.09           -0.08
       2.70           1.22            0.12            0.12           -0.09           -0.08
       2.71           1.22            0.12            0.12           -0.09           -0.08
       2.72           1.22            0.12            0.12           -0.09           -0.08
       2.73           1.22            0.12            0.12           -0.08           -0.08
       2.74           1.22            0.12            0.12           -0.08           -0.08
       2.75           1.22            0.12            0.12           -0.08           -0.07
       2.76           1.22            0.12            0.12           -0.08           -0.07
       2.77           1.22            0.11            0.11           -0.08           -0.07
       2.78           1.23            0.11            0.11           -0.08           -0.07
       2.79           1.23            0.11            0.11           -0.08           -0.07
       2.80           1.23            0.11            0.11           -0.08           -0.07
       2.81           1.23            0.11            0.11           -0.08           -0.07
       2.82           1.23            0.11            0.11           -0.08           -0.07
       2.83           1.23            0.11            0.11           -0.08           -0.07
       2.84           1.23            0.11            0.11           -0.08           -0.07
       2.85           1.23            0.11            0.11           -0.08           -0.07
       2.86           1.23            0.11            0.11           -0.07           -0.07
       2.87           1.24            0.11            0.11           -0.07           -0.07
       2.88           1.24            0.11            0.11           -0.07           -0.07
       2.89           1.24            0.11            0.11           -0.07           -0.07
       2.90           1.24            0.11            0.11           -0.07           -0.07
       2.91           1.24            0.10            0.11           -0.07           -0.06
       2.92           1.24            0.10            0.10           -0.07           -0.06
       2.93           1.24            0.10            0.10           -0.07           -0.06
       2.94           1.24            0.10            0.10           -0.07           -0.06
       2.95           1.24            0.10            0.10           -0.07           -0.06
       2.96           1.24            0.10            0.10           -0.07           -0.06
       2.97           1.25            0.10            0.10           -0.07           -0.06
       2.98           1.25            0.10            0.10           -0.07           -0.06
       2.99           1.25            0.10            0.10           -0.07           -0.06
       3.00           1.25            0.10            0.10           -0.07           -0.06
       3.01           1.25            0.10            0.10           -0.06           -0.06
       3.02           1.25            0.10            0.10           -0.06           -0.06
       3.03           1.25            0.10            0.10           -0.06           -0.06
       3.04           1.25            0.10            0.10           -0.06           -0.06
       3.05           1.25            0.10            0.10           -0.06           -0.06
       3.06           1.25            0.10            0.10           -0.06           -0.06
       3.07           1.26            0.10            0.10           -0.06           -0.06
       3.08           1.26            0.09            0.10           -0.06           -0.06
       3.09           1.26            0.09            0.09           -0.06           -0.06
       3.10           1.26            0.09            0.09           -0.06           -0.05
       3.11           1.26            0.09            0.09           -0.06           -0.05
       3.12           1.26            0.09            0.09           -0.06           -0.05
       3.13           1.26            0.09            0.09           -0.06           -0.05
